
28-01-2017 17:40:08:419 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:4, Key:A)
28-01-2017 17:40:08:617 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:18, Key:B)
28-01-2017 17:40:08:617 - D: 	Beginning round processing
28-01-2017 17:40:08:617 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:08:617 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:08:617 - D: 	Detonating Bombs
28-01-2017 17:40:08:617 - D: 	Processing Player Commands
28-01-2017 17:40:08:617 - D: 	Applying player power ups
28-01-2017 17:40:08:617 - D: 	Destroying marked entities
28-01-2017 17:40:08:617 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 2,14% for the map
28-01-2017 17:40:08:617 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,85% for the map
28-01-2017 17:40:08:617 - D: 	Round processing complete
