
28-01-2017 17:40:03:433 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:3, Y:4, Key:A)
28-01-2017 17:40:03:633 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:19, Key:B)
28-01-2017 17:40:03:633 - D: 	Beginning round processing
28-01-2017 17:40:03:633 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:03:633 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:03:633 - D: 	Detonating Bombs
28-01-2017 17:40:03:633 - D: 	Processing Player Commands
28-01-2017 17:40:03:633 - I: 	Trying to move player A to destination Location(X:2,Y:4)
28-01-2017 17:40:03:633 - I: 	Trying to move player B to destination Location(X:20,Y:18)
28-01-2017 17:40:03:633 - D: 	Applying player power ups
28-01-2017 17:40:03:633 - D: 	Destroying marked entities
28-01-2017 17:40:03:633 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,42% for the map
28-01-2017 17:40:03:633 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 1,42% for the map
28-01-2017 17:40:03:633 - D: 	Round processing complete
