
28-01-2017 17:40:03:937 - D: 	Executing bot with following commands TEST_BOT_2\Reference\bin\Release\Reference.exe B "D:\ITB\Asisten Stima\2016-Bomberman\v1.2.6\Game Engine\Replays\1919137927\5\B"
28-01-2017 17:40:03:937 - I: 	Executing process TEST_BOT_2\Reference\bin\Release\Reference.exe B "D:\ITB\Asisten Stima\2016-Bomberman\v1.2.6\Game Engine\Replays\1919137927\5\B"
28-01-2017 17:40:03:937 - I: 	Bot has 4000ms to run before it will be forcefully killed
28-01-2017 17:40:04:133 - I: 	Output from bot: *********************
28-01-2017 17:40:04:133 - I: 	Output from bot: *  ###   # #   # # #*
28-01-2017 17:40:04:133 - I: 	Output from bot: * * * * * * * * * * *
28-01-2017 17:40:04:133 - I: 	Output from bot: *A ##  # # # #  ##  *
28-01-2017 17:40:04:133 - I: 	Output from bot: *#* * * * * * * * *#*
28-01-2017 17:40:04:133 - I: 	Output from bot: *        # #        *
28-01-2017 17:40:04:133 - I: 	Output from bot: *#* * *#*#*#*#* * *#*
28-01-2017 17:40:04:133 - I: 	Output from bot: *                   *
28-01-2017 17:40:04:133 - I: 	Output from bot: * * *#* *#*#* *#* * *
28-01-2017 17:40:04:133 - I: 	Output from bot: *#     #######     #*
28-01-2017 17:40:04:133 - I: 	Output from bot: *#* *#*#*#.#*#*#* *#*
28-01-2017 17:40:04:134 - I: 	Output from bot: *#     ###..##     #*
28-01-2017 17:40:04:134 - I: 	Output from bot: * * *#* *#*.* *#* * *
28-01-2017 17:40:04:134 - I: 	Output from bot: *          ...      *
28-01-2017 17:40:04:134 - I: 	Output from bot: *#* * *#*#*#*.* * *#*
28-01-2017 17:40:04:134 - I: 	Output from bot: *        # # ...    *
28-01-2017 17:40:04:134 - I: 	Output from bot: *#* * * * * * *.* *#*
28-01-2017 17:40:04:134 - I: 	Output from bot: *  ##  # # # # ....B*
28-01-2017 17:40:04:134 - I: 	Output from bot: * * * * * * * * * * *
28-01-2017 17:40:04:134 - I: 	Output from bot: *# # #   # #   ###  *
28-01-2017 17:40:04:134 - I: 	Output from bot: *********************
28-01-2017 17:40:04:134 - I: 	Output from bot: Executing move command
28-01-2017 17:40:04:135 - I: 	Output from bot: Sending Back command MoveLeft
28-01-2017 17:40:04:138 - I: 	Output from bot: 
28-01-2017 17:40:04:138 - E: 	Output from bot: 
28-01-2017 17:40:04:140 - I: 	Your bots total execution time was 00:00:00.1986850
